"Species","Common","IUIS Allergen","Type","Group","Allergenicity","Length","Accession","GI#","1st Version"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 3 Glycinin","IgE plus basophil+ or SPT+","512","ADQ53859.1","312233065","12"
"Arachis hypogaea","Peanut","Ara h 5.0101","Food Plant","Arachis Ara h 5","IgE plus basophil+ or SPT+","131","AAD55587.1","5902968","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 5","IgE plus basophil+ or SPT+","131","ADB96066.1","284810529","11"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 5","IgE plus basophil+ or SPT+","131","AGA84056.1","431812555","14"
"Arachis hypogaea","Peanut","Ara h 6.0101","Food Plant","Arachis Ara h 6","IgE plus basophil+ or SPT+","129","AAD56337.1","5923742","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 6","IgE plus basophil+ or SPT+","144","AAL37561.1","17225991","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 6","IgE plus basophil+ or SPT+","127","1W2Q_A","159163254","9"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 6","IgE plus basophil+ or SPT+","145","Q647G9.1","75114094","10"
"Arachis hypogaea","Peanut","Ara h 7.0201","Food Plant","Arachis Ara h 7","IgE but no biological test","164","ABW17159.1","158121995","10"
"Arachis hypogaea","Peanut","Ara h 8.0101","Food Plant","Arachis Ara h 8","IgE plus basophil+ or SPT+","157","AAQ91847.1","37499626","7"
"Arachis hypogaea","Peanut","Ara h 8.0201","Food Plant","Arachis Ara h 8","IgE plus basophil+ or SPT+","153","ABP97433.1","145904610","9"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 8","IgE plus basophil+ or SPT+","157","ACA79908.1","169786740","9"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 8","IgE plus basophil+ or SPT+","157","ABG85155.1","110676574","12"
"Arachis hypogaea","Peanut","Ara h 9.0101","Food Plant","Arachis Ara h 9  LTP isoallergens","IgE but no biological test","116","ABX56711.1","161087230","10"
"Arachis hypogaea","Peanut","Ara h 9.0201","Food Plant","Arachis Ara h 9  LTP isoallergens","IgE but no biological test","92","ABX75045.1","161610580","10"
"Arachis hypogaea","Peanut","Ara h 10.0101","Food Plant","Arachis hypogaea Ara h 10","IgE but no biological test","169","AAU21499.2","113200509","15"
"Arachis hypogaea","Peanut","Ara h 10.0102","Food Plant","Arachis hypogaea Ara h 10","IgE but no biological test","150","AAU21500.1","52001239","15"
"Arachis hypogaea","Peanut","Ara h 11.0101","Food Plant","Arachis hypogaea Ara h 11","IgE but no biological test","137","AAZ20276.1","71040655","15"
"Arachis hypogaea","Peanut","Ara h 11.0102","Food Plant","Arachis hypogaea Ara h 11","IgE but no biological test","137","Q45W86","122218540","16"
"Arachis hypogaea","Peanut","Ara h 15.0101","Food Plant","Arachis hypogaea oleosin Ara h 15","IgE plus basophil+ or SPT+","166","AAU21501.1","52001241","15"
"Balanus rostratus","Crustacean","Unassigned","Food Animal","Balanus r tropomyosin","IgE but no biological test","284","BAF46896.1","125659386","9"
"Batillus cornutus","Japanese turban shell","Unassigned","Food Animal","Batillus Tur c1","IgE but no biological test","284","BAH10149.1","219806588","10"
"Bertholletia excelsa","Brazil nut","Ber e 1.0101","Food Plant","Bertholletia Ber e 1","IgE plus basophil+ or SPT+","146","P04403.2","112754","7"
"Bertholletia excelsa","Brazil nut","Ber e 2.0101","Food Plant","Bertholletia Ber e 2","IgE but no biological test","465","AAO38859.1","30313867","7"
"Bertholletia excelsa","Brazil nut","Unassigned","Food Plant","Bertholletia Ber e 2","IgE but no biological test","426","6B4S_A","1534918238","20"
"Bos grunniens mutus","Yak","Bos d 11.0101","Food Animal","Bos Bos d 11 beta casein","IgE plus basophil+ or SPT+","259","XP_005902099.2","942073448","16"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","IgE plus basophil+ or SPT+","93","AAA62707.1","162650","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","IgE plus basophil+ or SPT+","214","AAA30429.1","162794","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","IgE plus basophil+ or SPT+","76","AAA30478.1","162927","7"
"Bos taurus","Bovine","Bos d 9.0101","Food Animal","Bos Alpha-s1 casein","IgE plus basophil+ or SPT+","214","NP_851372.1","30794348","8"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","IgE plus basophil+ or SPT+","205","ABW98943.1","159793197","9"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","IgE plus basophil+ or SPT+","172","ABW98945.1","159793201","9"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Alpha-s1 casein","IgE plus basophil+ or SPT+","129","ABW98953.1","159793217","9"
"Bos taurus","Bovine","Bos d 10.0101","Food Animal","Bos Bos d 10","IgE plus basophil+ or SPT+","222","NP_776953.1","27806963","15"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 11 beta casein","IgE plus basophil+ or SPT+","224","AAA30430.1","162797","7"
"Bos taurus","Bovine","Bos d 11.0101","Food Animal","Bos Bos d 11 beta casein","IgE plus basophil+ or SPT+","224","AAA30431.1","162805","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 11 beta casein","IgE plus basophil+ or SPT+","224","AAB29137.1","459292","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 12","IgE plus basophil+ or SPT+","190","AAA30433.1","162811","7"
"Bos taurus","Bovine","Bos d 12.0101","Food Animal","Bos Bos d 12","IgE plus basophil+ or SPT+","190","NP_776719.1","27881412","15"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 4","IgE plus basophil+ or SPT+","142","CAA29664.1","295774","7"
"Bos taurus","Bovine","Bos d 4.0101","Food Animal","Bos Bos d 4","IgE plus basophil+ or SPT+","142","AAA30615.1","163283","15"
"Bos taurus","Bovine","Bos d 5.0101","Food Animal","Bos Bos d 5","IgE plus basophil+ or SPT+","178","CAA32835.1","520","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 5","IgE plus basophil+ or SPT+","178","P02754.3","125910","9"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 5","IgE plus basophil+ or SPT+","178","ACG59280.1","195957138","10"
"Bos taurus","Bovine","Bos d 6.0101","Food Animal","Bos Bos d 6","IgE plus basophil+ or SPT+","607","AAA51411.1","162648","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos Bos d 6","IgE plus basophil+ or SPT+","607","CAA76847.1","3336842","7"
"Bos taurus","Bovine","Unassigned","Food Animal","Bos lactotransferrin","IgE but no biological test","708","NP_851341.1","30794292","8"
"Brassica juncea","Mustard","Bra j 1.0101","Food Plant","Brassica Bra j 1 2S albumin","IgE but no biological test","129","P80207.1","32363444","9"
"Brassica napus","Rape","Bra n 1.0101","Food Plant","Bra n 1","IgE but no biological test","125","P80208.1","75107016","9"
"Brassica napus","Rape","Unassigned","Food Plant","Brassica napus 2S albumin","IgE but no biological test","109","AAN86249.1","26985163","7"
"Brassica rapa","Turnip","Bra r 1.0101","Food Plant","Brassica Bra r 1","IgE but no biological test","178","CAA46782.1","17697","9"
"Brassica rapa","Turnip","Bra r 5.0101","Food Plant","Brassica Calcim binding protein Group I","IgE but no biological test","79","BAA09634.1","1255540","15"
"Capsicum annuum","Bell pepper","Cap a 1.0101","Food Plant","Capsicum Cap a 1","IgE but no biological test","246","CAC34055.2","16609959","7"
"Capsicum annuum","Bell pepper","Cap a 2.0101","Food Plant","Capsicum Cap a 2","IgE but no biological test","131","CAD10376.1","16555785","7"
"Carica papaya","Papaya","Cari p 1.0101","Food Plant","Cari p 1.0101 endo polygalacturonase","IgE plus basophil+ or SPT+","494","ACV85695.1","258640138","18"
"Carya illinoinensis","Pecan","Car i 1.0101","Food Plant","Carya Car i 1 Seed storage protein","IgE but no biological test","143","AAO32314.1","28207731","7"
"Carya illinoinensis","Pecan","Car i 4.0101","Food Plant","Carya Car i 4 11s legumin","IgE but no biological test","505","ABW86978.1","158998780","14"
"Carya illinoinensis","Pecan","Unassigned","Food Plant","Carya Car i 4 11s legumin","IgE but no biological test","505","ABW86979.1","158998782","14"
"Carya illinoinensis","Pecan","Car i 2.0101","Food Plant","Carya i Car i 2.0101 vicilin","IgE but no biological test","792","ABV49590.1","157384600","15"
"Carya illinoinensis","Pecan","","Food Plant","Carya i Car i 2.0101 vicilin","IgE but no biological test","426","5E1R_F","1052244924","18"
"Castanea sativa","European chestnut","Cas s 5.0101","Food Plant","Castanea Cas s 5","IgE plus basophil+ or SPT+","316","CAA64868.1","1359600","7"
"Castanea sativa","European chestnut","Unassigned","Food Plant","Castanea Cas s 5","IgE plus basophil+ or SPT+","298","ADN39439.1","307159110","12"
"Charybdis feriatus","Crab","Cha f 1.0101","Food Animal","Charybdis Cha f 1","IgE but no biological test","264","AAF35431.1","7024506","7"
"Chionoecetes opilio","Snow Crab","Unassigned","Food Animal","Chionoecetes tropomyosin","IgE but no biological test","284","A2V735.1","308191588","12"
"Citrullus lanatus","","Citr l 2.0101","Food Plant","Citrullus lanatus Citr l 2","IgE plus basophil+ or SPT+","131","AAU43733.1","52352489","17"
"Citrus limon","Lemon","Cit l 3.0101","Food Plant","Citrus LTP Cit s 3/Cit l 3","IgE plus basophil+ or SPT+","20","P84160.1","52783176","7"
"Citrus sinensis","Navel orange","Cit s 1.0101","Food Plant","Citrus Cit s 1","IgE plus basophil+ or SPT+","25","P84159.1","52782810","7"
"Citrus sinensis","Navel orange","Cit s 2.0101","Food Plant","Citrus Cit s 2","IgE plus basophil+ or SPT+","131","CAI23765.1","56000996","7"
"Citrus sinensis","Navel orange","Cit s 3.0101","Food Plant","Citrus LTP Cit s 3/Cit l 3","IgE plus basophil+ or SPT+","20","P84161.1","52783177","7"
"Citrus sinensis","Navel orange","Cit s 3.0102","Food Plant","Citrus LTP Cit s 3/Cit l 3","IgE plus basophil+ or SPT+","91","CAH03799.1","50199132","7"
"Citrus sinensis","Navel orange","Cit s 7","Food Plant","Citrus sinensis Cit s 7","IgE plus basophil+ or SPT+","88","XP_006472264.1","568836465","20"
"Clupea harengus","Atlantic herring","Clu h 1.0101","Food Animal","Clupea Clu h 1","IgE but no biological test","109","CAQ72970.1","242253963","11"
"Clupea harengus","Atlantic herring","Clu h 1.0201","Food Animal","Clupea Clu h 1","IgE but no biological test","110","CAQ72971.1","242253965","11"
"Clupea harengus","Atlantic herring","Clu h 1.0301","Food Animal","Clupea Clu h 1","IgE but no biological test","109","CAQ72972.1","242253967","11"
"Coffea arabica","Coffee","Cof a 3.0101","Food Plant","Coffea  Cof a 3","IgE but no biological test","65","AGL34968.1","494319676","15"
"Coffea arabica","Coffee","Cof a 1.0101","Food Plant","Coffea Cof a 1","IgE but no biological test","263","ADH10372.1","296399179","15"
"Coffea arabica","Coffee","Cof a 2.0101","Food Plant","Coffea Cof a 2","IgE but no biological test","80","AGL34967.1","494319674","15"
"Coprinus comatus","Shaggy mane","Cop c 1.0101","Food Fungi","Coprinus Cop c 1","IgE but no biological test","81","CAB39376.1","4538529","7"
"Coptotermes formosanus","","Unassigned","Food Animal","Coptotermes Copt f 7","IgE but no biological test","256","AGM32377.1","506968067","19"
"Corylus avellana","European hazelnut","Cor a 1.0403","Food Plant","Corylus Cor a 1","IgE plus basophil+ or SPT+","161","AAG40330.1","11762104","7"
"Corylus avellana","European hazelnut","Cor a 1.0404","Food Plant","Corylus Cor a 1","IgE plus basophil+ or SPT+","161","AAG40331.1","11762106","7"
"Corylus avellana","European hazelnut","Cor a 12.0101","Food Plant","Corylus Cor a 12","IgE plus basophil+ or SPT+","159","AAO67349.2","49617323","15"
"Corylus avellana","European hazelnut","Cor a 13.0101","Food Plant","Corylus Cor a 13 Oleosin","IgE but no biological test","140","AAO65960.1","29170509","7"
"Corylus avellana","European hazelnut","Cor a 14.0101","Food Plant","Corylus Cor a 14 2S albumin","IgE plus basophil+ or SPT+","147","ACO56333.1","226437844","11"
